Maharani Restaurant,4.333333333333333,0.022,0.852,0.125,0.9924
The Dhaba,3.8,0.013,0.799,0.188,0.9998
India Oven,3.8571428571428568,0.028,0.751,0.222,1.0
Southern Spice,1.0,0.03,0.793,0.177,0.9767
Chutney's Indian Cuisine,3.0,0.068,0.823,0.11,0.9678
Flavors of India,4.5,0.013,0.681,0.306,0.9994
Taj Mahal Indian Cuisine,3.6,0.01,0.781,0.21,0.9998
Bombay Palace,2.0,0.076,0.861,0.063,-0.0263
Woodlands Vegetarian South Indian Kitchen,4.5,0.038,0.749,0.213,0.9998
Maharaja Restaurant,5.0,0.081,0.797,0.122,0.7382
Passage To India,5.0,0.013,0.77,0.217,0.9966
India Garden,4.0,0.061,0.808,0.131,0.8374
Dhaba Indian Bistro,5.0,0.0,0.849,0.151,0.93
Royal Taj,4.75,0.033,0.762,0.205,0.9994
Gaylord India Restaurant,4.0,0.04,0.754,0.206,0.9539
India's Grill,3.0,0.096,0.891,0.013,-0.8904
Mint Indian Bistro,5.0,0.009,0.827,0.164,0.9939
Tandoori Village,5.0,0.033,0.818,0.149,0.9926
Royal India Bistro,1.0,0.077,0.79,0.134,0.9527
India Gate,4.0,0.062,0.688,0.251,0.9808
Taj Palace,3.5,0.033,0.768,0.199,0.9988
Tandoori Times Indian Bistro,2.0,0.073,0.815,0.112,0.9971
Al Hamra,3.0,0.05,0.788,0.162,0.9659
Curry Garden,4.5,0.024,0.752,0.224,0.9981
Origin India Restaurant & Bar,2.0,0.154,0.779,0.067,-0.9348
Indian Delhi Palace,3.8,0.045,0.744,0.211,0.9999
Tamba Indian Cuisine & Lounge,4.333333333333333,0.032,0.754,0.214,0.9981
Udupi Indian Veg & Vegan Cuisine,3.6666666666666665,0.048,0.787,0.166,0.9999
New India Bazaar,4.0,0.029,0.811,0.16,0.9954
Saffron,2.0,0.082,0.808,0.11,0.8926
Kabab Palace,4.0,0.007,0.72,0.273,0.9982
Nandini Indian Cuisine,5.0,0.016,0.777,0.206,0.9964
Mount Everest India's Cuisine,4.142857142857143,0.022,0.788,0.19,0.9999
Taza Indian Kitchen,4.0,0.014,0.847,0.14,0.9615
New India Cuisine,4.0,0.029,0.799,0.173,0.9978
Sai India Curry,1.0,0.046,0.821,0.133,0.9807
India Masala,3.333333333333333,0.051,0.815,0.134,0.9868
Copper Kettle,2.0,0.049,0.878,0.073,0.2434
Sutra Fine Indian Cuisine,5.0,0.017,0.796,0.187,0.9963
Copper Kettle-Salads Balti & Taandoori Grill,4.0,0.02,0.901,0.078,0.9062
Delhi Palace Cuisine of India,4.0,0.03,0.755,0.216,0.9999
Madras Ananda Bhavan,5.0,0.047,0.837,0.116,0.9614
Curry Corner,4.25,0.03,0.833,0.137,0.9981
Indian Paradise,4.0,0.011,0.772,0.216,0.9999
Swagat India,4.0,0.023,0.821,0.156,0.9941
Flavor of India,4.0,0.048,0.748,0.204,0.9989
Bawarchi Indian Cuisine,4.333333333333333,0.023,0.734,0.242,0.998
Guru Palace,3.75,0.041,0.77,0.189,0.9999
India Palace,3.333333333333333,0.032,0.817,0.151,0.9947
Jewel of the Crown,4.0,0.0,0.651,0.349,0.9844
OM Restaurant,5.0,0.0,0.928,0.072,0.9446
Indian Paradise 2,4.0,0.005,0.89,0.104,0.9746
India Grill,4.25,0.015,0.837,0.148,0.9977
Bay Leaf Cafe,5.0,0.0,0.705,0.295,0.9965
Gandhi India's Cuisine,2.5,0.028,0.828,0.144,0.9977
